"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 01 20:59:22 GMT 2025","Tue Apr 01 20:59:24 GMT 2025","1432","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userShouldBeAbleToRunBuildTypeAndCheckItsStatus","User should be able to run build type and check its status",""
"passed","Tue Apr 01 20:59:32 GMT 2025","Tue Apr 01 20:59:32 GMT 2025","234","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userShouldNotBeAbleToCreateProjectWithTheSameIdTest","User should not be able to create project with the same id",""
"passed","Tue Apr 01 20:59:29 GMT 2025","Tue Apr 01 20:59:29 GMT 2025","510","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userShouldNotBeAbleToCreateACopyOfNonExistingSourceProject","User should not be able to create a copy of non existing source project",""
"passed","Tue Apr 01 20:59:28 GMT 2025","Tue Apr 01 20:59:28 GMT 2025","311","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesTwoProjectsWithEmptyIdTest","User should not be able to create project with empty id",""
"passed","Tue Apr 01 20:59:26 GMT 2025","Tue Apr 01 20:59:26 GMT 2025","396","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectInRootTest","User should be able to create new project in Root catalog",""
"passed","Tue Apr 01 20:59:24 GMT 2025","Tue Apr 01 20:59:25 GMT 2025","516","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCanSearchProjectByName","User can search a project by name",""
"passed","Tue Apr 01 20:59:27 GMT 2025","Tue Apr 01 20:59:28 GMT 2025","349","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectsWith256StringNameTest","User should be able to create project with 226 char name",""
"passed","Tue Apr 01 20:59:25 GMT 2025","Tue Apr 01 20:59:26 GMT 2025","716","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCopiesProjectInRootTest","User should be able to copy the project",""
"passed","Tue Apr 01 20:59:30 GMT 2025","Tue Apr 01 20:59:31 GMT 2025","703","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userShouldNotBeAbleToCreateProjectAsProjectViewer","User should not be able to create project as Project Viewer, Develop, Agent Manager",""
"passed","Tue Apr 01 20:58:03 GMT 2025","Tue Apr 01 20:58:53 GMT 2025","50208","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Tue Apr 01 20:59:26 GMT 2025","Tue Apr 01 20:59:27 GMT 2025","720","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectNotInRootTest","User should be able to create sub project of other project",""
"passed","Tue Apr 01 20:59:28 GMT 2025","Tue Apr 01 20:59:29 GMT 2025","304","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesTwoProjectsWithEmptyNameTest","User should not be able to create project with empty name",""
