"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 29 10:52:50 GMT 2025","Sat Mar 29 10:52:51 GMT 2025","824","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Sat Mar 29 10:52:53 GMT 2025","Sat Mar 29 10:52:54 GMT 2025","1218","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userShouldBeAbleToRunBuildTypeAndCheckItsStatus","User should be able to run build type and check its status",""
"passed","Sat Mar 29 10:52:52 GMT 2025","Sat Mar 29 10:52:52 GMT 2025","535","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Sat Mar 29 10:52:59 GMT 2025","Sat Mar 29 10:53:00 GMT 2025","233","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userShouldNotBeAbleToCreateProjectAsProjectViewer","User should not be able to create project as Project Viewer, Develop, Agent Manager",""
"passed","Sat Mar 29 10:52:56 GMT 2025","Sat Mar 29 10:52:56 GMT 2025","360","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectInRootTest","User should be able to create new project in Root catalog",""
"passed","Sat Mar 29 10:52:58 GMT 2025","Sat Mar 29 10:52:58 GMT 2025","574","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesTwoProjectsWithEmptyIdTest","User should not be able to create project with empty id",""
"passed","Sat Mar 29 10:52:48 GMT 2025","Sat Mar 29 10:52:50 GMT 2025","1558","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for another user's project",""
"passed","Sat Mar 29 10:52:51 GMT 2025","Sat Mar 29 10:52:52 GMT 2025","473","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sat Mar 29 10:52:57 GMT 2025","Sat Mar 29 10:52:58 GMT 2025","248","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectsWith256StringNameTest","User should be able to create project with 226 char name",""
"passed","Sat Mar 29 10:53:00 GMT 2025","Sat Mar 29 10:53:01 GMT 2025","262","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userShouldNotBeAbleToCreateProjectWithCyrillicSymbolsTest","User should not be able to create project with cyrillic symbols",""
"passed","Sat Mar 29 10:52:59 GMT 2025","Sat Mar 29 10:52:59 GMT 2025","398","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userShouldNotBeAbleToCreateACopyOfNonExistingSourceProject","User should not be able to create a copy of non existing source project",""
"passed","Sat Mar 29 10:53:00 GMT 2025","Sat Mar 29 10:53:00 GMT 2025","224","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userShouldNotBeAbleToCreateProjectAsProjectViewer","User should not be able to create project as Project Viewer, Develop, Agent Manager",""
"passed","Sat Mar 29 10:53:00 GMT 2025","Sat Mar 29 10:53:00 GMT 2025","319","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userShouldNotBeAbleToCreateProjectIfIdStartsWithNumber","User should not be able to create project if id starts with number",""
"passed","Sat Mar 29 10:52:58 GMT 2025","Sat Mar 29 10:52:59 GMT 2025","267","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesTwoProjectsWithEmptyNameTest","User should not be able to create project with empty name",""
"passed","Sat Mar 29 10:53:01 GMT 2025","Sat Mar 29 10:53:01 GMT 2025","288","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userShouldNotBeAbleToCreateProjectWithTheSameIdTest","User should not be able to create project with the same id",""
